Word	Translation
ἄγω	I lead, I bring
παύω	I stop, I cease
γράφω	I write
εἰμί	I am, to be
ἔχω	I have, I hold
λέγω	I say, I speak
ὁράω	I see
πέμπω	I send
λαμβάνω	I take, I receive
ποιέω	I make, I do
